year,Country,GDPPC_I,FC,FR
1998,"Sao Tome and Principe",728.6511,3,8.50
1999,"Sao Tome and Principe",735.6577,3,8.32
2000,"Sao Tome and Principe",740.6552,3,8.00
2001,"Sao Tome and Principe",751.5869,4,9.95
2002,"Sao Tome and Principe",752.4044,5,10.58
2003,"Sao Tome and Principe",786.6995,5,10.34
2004,"Sao Tome and Principe",804.0122,5,9.92
2005,"Sao Tome and Principe",797.1963,5,9.44
2006,"Sao Tome and Principe",874.286,5,8.83
2007,"Sao Tome and Principe",866.7163,5,9.23
2008,"Sao Tome and Principe",918.0432,5,9.19
2009,"Sao Tome and Principe",927.4845,6,9.37
2010,"Sao Tome and Principe",942.1989,6,9.69
2011,"Sao Tome and Principe",962.0617,7,10.08
2012,"Sao Tome and Principe",974.368,7,10.09
2013,"Sao Tome and Principe",987.6407,7,10.38
1989,"Saudi Arabia",11655.73,229,4.76
1990,"Saudi Arabia",12204.98,228,4.53
1991,"Saudi Arabia",12891.46,230,4.42
1992,"Saudi Arabia",13078.96,238,4.40
1993,"Saudi Arabia",12718.09,253,4.55
1994,"Saudi Arabia",12493.93,261,4.59
1995,"Saudi Arabia",12269.34,262,4.55
1996,"Saudi Arabia",12495.4,255,4.42
1997,"Saudi Arabia",12676.44,253,4.41
1998,"Saudi Arabia",12885.61,263,4.60
1999,"Saudi Arabia",12569.02,258,4.51
2000,"Saudi Arabia",12837.67,259,4.29
2001,"Saudi Arabia",12446.41,277,4.40
2002,"Saudi Arabia",11929.24,298,4.43
2003,"Saudi Arabia",12265.68,310,4.28
2004,"Saudi Arabia",12846,319,4.11
2005,"Saudi Arabia",13303.31,322,3.93
2006,"Saudi Arabia",13667.74,332,3.85
2007,"Saudi Arabia",14182.83,338,3.79
2008,"Saudi Arabia",15115.15,332,3.62
2009,"Saudi Arabia",15144.63,359,3.81
2010,"Saudi Arabia",15994.78,355,3.65
2011,"Saudi Arabia",17050.67,348,3.47
2012,"Saudi Arabia",17706.24,355,3.42
2013,"Saudi Arabia",18060.23,385,3.43
1989,"Senegal",707.2956,318,10.97
1990,"Senegal",681.1157,300,10.01
1991,"Senegal",677.297,314,10.12
1992,"Senegal",665.0019,307,9.52
1993,"Senegal",653.7223,340,10.19
1994,"Senegal",635.0104,333,9.65
1995,"Senegal",650.9619,368,10.33
1996,"Senegal",647.0676,365,9.94
1997,"Senegal",650.9897,374,9.92
1998,"Senegal",672.9597,378,9.78
1999,"Senegal",698.5854,383,9.65
2000,"Senegal",703.0762,397,9.71
2001,"Senegal",716.5773,399,9.47
2002,"Senegal",702.4615,373,8.56
2003,"Senegal",729.5046,407,9.08
2004,"Senegal",751.6265,399,8.61
2005,"Senegal",772.5268,428,8.97
2006,"Senegal",770.2151,415,8.43
2007,"Senegal",786.3876,411,8.10
2008,"Senegal",793.1077,457,8.73
2009,"Senegal",789.8646,492,9.12
2010,"Senegal",800.4311,514,9.24
2011,"Senegal",793.6743,494,8.60
2012,"Senegal",797.4335,529,8.92
2013,"Senegal",796.1693,560,9.17
1989,"Serbia",2465.419,362,11.44
1990,"Serbia",2489.153,356,11.16
1991,"Serbia",2428.791,348,10.79
1992,"Serbia",2379.995,334,10.30
1993,"Serbia",2345.61,331,10.11
1994,"Serbia",2351.119,320,9.73
1995,"Serbia",2392.809,312,9.57
1996,"Serbia",2453.296,318,9.76
1997,"Serbia",2636.932,310,9.51
1998,"Serbia",2711.285,289,8.85
1999,"Serbia",2390.594,319,9.75
2000,"Serbia",2584.329,305,9.29
2001,"Serbia",2718.027,306,9.29
2002,"Serbia",2912.757,261,7.87
2003,"Serbia",3049.271,247,7.45
2004,"Serbia",3332.891,252,7.56
2005,"Serbia",3528.131,236,7.08
2006,"Serbia",3715.745,231,6.93
2007,"Serbia",3950.541,220,6.59
2008,"Serbia",4180.313,220,6.63
2009,"Serbia",4066.328,209,6.48
2010,"Serbia",4106.57,208,6.62
2011,"Serbia",4197.127,210,6.68
2012,"Serbia",4174.726,198,6.31
2013,"Serbia",4304.162,199,6.34
1989,"Seychelles",8269.116,2,5.16
1990,"Seychelles",8770.232,2,5.18
1991,"Seychelles",8916.161,2,5.13
1992,"Seychelles",9434.417,2,4.92
1993,"Seychelles",9873.802,2,4.91
1994,"Seychelles",9634.087,2,4.92
1995,"Seychelles",9379.577,2,4.91
1996,"Seychelles",9697.49,2,4.81
1997,"Seychelles",10730.8,2,4.64
1998,"Seychelles",11407.26,2,4.42
1999,"Seychelles",11394.78,2,4.47
2000,"Seychelles",11464.54,2,4.40
2001,"Seychelles",11194.36,2,4.44
2002,"Seychelles",10991.99,2,4.44
2003,"Seychelles",10457.32,2,4.49
2004,"Seychelles",10196.18,2,4.82
2005,"Seychelles",11060.8,2,4.68
2006,"Seychelles",11896.05,2,4.55
2007,"Seychelles",13026.68,2,4.41
2008,"Seychelles",12465.93,2,4.44
2009,"Seychelles",12279.61,2,4.44
2010,"Seychelles",12651.44,2,4.40
2011,"Seychelles",14016.46,2,4.27
2012,"Seychelles",14269.04,2,4.22
2013,"Seychelles",14875.3,2,4.24
1989,"Sierra Leone",358.5851,352,24.67
1990,"Sierra Leone",366.0451,359,24.82
1991,"Sierra Leone",373.6765,262,18.05
1992,"Sierra Leone",304.2456,250,17.28
1993,"Sierra Leone",311.5414,301,20.94
1994,"Sierra Leone",308.5581,259,18.16
1995,"Sierra Leone",285.6408,291,20.51
1996,"Sierra Leone",291.199,339,23.89
1997,"Sierra Leone",273.4846,510,35.70
1998,"Sierra Leone",276.0086,577,39.97
1999,"Sierra Leone",265.9426,590,40.15
2000,"Sierra Leone",276.1454,534,35.28
2001,"Sierra Leone",247.1207,430,27.28
2002,"Sierra Leone",298.3281,462,27.98
2003,"Sierra Leone",311.1049,483,27.83
2004,"Sierra Leone",316.599,555,29.80
2005,"Sierra Leone",317.9466,592,30.49
2006,"Sierra Leone",325.6858,624,31.00
2007,"Sierra Leone",343.1013,685,33.06
2008,"Sierra Leone",353.7849,745,35.03
2009,"Sierra Leone",357.8688,816,37.41
2010,"Sierra Leone",369.7422,774,34.65
2011,"Sierra Leone",383.5071,821,35.88
2012,"Sierra Leone",396.3362,831,35.43
2013,"Sierra Leone",410.4285,926,38.65
1989,"Singapore",15639,65,4.37
1990,"Singapore",16553.52,57,3.67
1991,"Singapore",17164.75,68,4.23
1992,"Singapore",17837.4,82,4.96
1993,"Singapore",19398.21,77,4.58
1994,"Singapore",20853.58,69,3.98
1995,"Singapore",21651.09,65,3.69
1996,"Singapore",22354.55,76,4.07
1997,"Singapore",23408.92,107,5.60
1998,"Singapore",22123.38,91,4.62
1999,"Singapore",23285.07,69,3.45
2000,"Singapore",24921.24,67,3.24
2001,"Singapore",24027.15,69,3.24
2002,"Singapore",24811.25,65,3.05
2003,"Singapore",26297.1,60,2.88
2004,"Singapore",28449.42,62,2.89
2005,"Singapore",29869.63,60,2.68
2006,"Singapore",31514.37,64,2.70
2007,"Singapore",32982.98,63,2.55
2008,"Singapore",31832.71,64,2.41
2009,"Singapore",30700.47,70,2.56
2010,"Singapore",34758.41,55,1.95
2011,"Singapore",36102.75,61,2.10
2012,"Singapore",36110.13,56,1.85
2013,"Singapore",36897.88,59,1.92
1989,"Sint Maarten (Dutch part)",,1,5.36
1990,"Sint Maarten (Dutch part)",,1,5.17
1991,"Sint Maarten (Dutch part)",,1,5.15
1992,"Sint Maarten (Dutch part)",,1,5.13
1993,"Sint Maarten (Dutch part)",,1,5.05
1994,"Sint Maarten (Dutch part)",,1,4.94
1995,"Sint Maarten (Dutch part)",,1,4.92
1996,"Sint Maarten (Dutch part)",,1,4.81
1997,"Sint Maarten (Dutch part)",,1,4.76
1998,"Sint Maarten (Dutch part)",,1,4.81
1999,"Sint Maarten (Dutch part)",,1,4.57
2000,"Sint Maarten (Dutch part)",,1,4.44
2001,"Sint Maarten (Dutch part)",,1,4.37
2002,"Sint Maarten (Dutch part)",,1,4.31
2003,"Sint Maarten (Dutch part)",,1,4.35
2004,"Sint Maarten (Dutch part)",,1,4.27
2005,"Sint Maarten (Dutch part)",,1,4.19
2006,"Sint Maarten (Dutch part)",,1,4.20
2007,"Sint Maarten (Dutch part)",,1,4.16
2008,"Sint Maarten (Dutch part)",,1,4.07
2009,"Sint Maarten (Dutch part)",,1,4.11
2010,"Sint Maarten (Dutch part)",,1,4.07
2011,"Sint Maarten (Dutch part)",,1,4.08
2012,"Sint Maarten (Dutch part)",,1,4.03
2013,"Sint Maarten (Dutch part)",,1,4.00
1989,"Slovakia",6968.508,234,9.14
1990,"Slovakia",7012.013,229,8.88
1991,"Slovakia",6923.887,171,6.50
1992,"Slovakia",6781.459,141,5.48
1993,"Slovakia",6884.069,117,4.64
1994,"Slovakia",7282.508,121,4.93
1995,"Slovakia",7685.538,127,5.12
1996,"Slovakia",8187.512,151,6.00
1997,"Slovakia",8667.669,100,3.97
1998,"Slovakia",9001.786,138,5.44
1999,"Slovakia",8974.469,115,4.47
2000,"Slovakia",9095.647,88,3.39
2001,"Slovakia",9415.143,100,3.80
2002,"Slovakia",9862.591,87,3.30
2003,"Slovakia",10403.14,94,3.53
2004,"Slovakia",10950.65,79,2.95
2005,"Slovakia",11665.51,76,2.86
2006,"Slovakia",12628.41,95,3.58
2007,"Slovakia",13973.19,97,3.66
2008,"Slovakia",14721.63,80,2.97
2009,"Slovakia",13924.25,68,2.52
2010,"Slovakia",14582.83,64,2.36
2011,"Slovakia",14957.9,62,2.28
2012,"Slovakia",15171.68,60,2.18
2013,"Slovakia",15371.31,59,2.14
1989,"Slovenia",13195.81,67,7.92
1990,"Slovenia",13207.94,57,6.72
1991,"Slovenia",13015.96,46,5.40
1992,"Slovenia",12749.76,42,4.93
1993,"Slovenia",12548.01,43,5.04
1994,"Slovenia",12376.21,28,2.96
1995,"Slovenia",12422.63,37,3.85
1996,"Slovenia",12867.49,36,3.82
1997,"Slovenia",13543.78,42,4.37
1998,"Slovenia",14019.33,31,3.16
1999,"Slovenia",14748.22,27,2.80
2000,"Slovenia",15315.66,26,2.71
2001,"Slovenia",15742.56,34,3.51
2002,"Slovenia",16326.25,32,3.29
2003,"Slovenia",16780.13,40,4.15
2004,"Slovenia",17499.15,21,2.08
2005,"Slovenia",18168.15,21,2.07
2006,"Slovenia",19134.58,31,3.03
2007,"Slovenia",20348.73,43,4.14
2008,"Slovenia",20987.04,25,2.40
2009,"Slovenia",19176.51,24,2.25
2010,"Slovenia",19326.32,22,2.11
2011,"Slovenia",19404.4,20,1.96
2012,"Slovenia",18852.57,19,1.91
2013,"Slovenia",18639.06,18,1.81
1989,"Solomon Islands",971.0911,16,14.50
1990,"Solomon Islands",987.0821,16,14.09
1991,"Solomon Islands",1017.267,28,24.75
1992,"Solomon Islands",1114.333,32,26.63
1993,"Solomon Islands",1126.201,32,26.01
1994,"Solomon Islands",1195.376,33,25.35
1995,"Solomon Islands",1257.717,30,22.90
1996,"Solomon Islands",1242.613,28,20.30
1997,"Solomon Islands",1191.121,30,20.75
1998,"Solomon Islands",1179.36,27,18.13
1999,"Solomon Islands",1141.996,26,17.20
2000,"Solomon Islands",952.9124,26,16.66
2001,"Solomon Islands",853.7095,19,11.76
2002,"Solomon Islands",808.1465,25,14.82
2003,"Solomon Islands",838.5871,35,19.98
2004,"Solomon Islands",857.5836,33,18.61
2005,"Solomon Islands",881.9616,31,16.80
2006,"Solomon Islands",920.7849,33,17.54
2007,"Solomon Islands",965.2903,34,17.74
2008,"Solomon Islands",1010.383,35,17.81
2009,"Solomon Islands",941.2604,39,19.27
2010,"Solomon Islands",992.7195,41,19.68
2011,"Solomon Islands",1075.385,45,21.17
2012,"Solomon Islands",1103.831,45,20.73
2013,"Solomon Islands",1112.846,51,22.80
1989,"Somalia",,411,21.24
1990,"Somalia",,411,21.00
1991,"Somalia",,405,20.75
1992,"Somalia",,400,20.64
1993,"Somalia",,413,21.42
1994,"Somalia",,394,20.48
1995,"Somalia",,402,20.80
1996,"Somalia",,420,21.35
1997,"Somalia",,434,21.57
1998,"Somalia",,452,21.83
1999,"Somalia",,445,20.83
2000,"Somalia",,406,18.50
2001,"Somalia",,400,17.74
2002,"Somalia",,402,17.37
2003,"Somalia",,409,17.26
2004,"Somalia",,401,16.52
2005,"Somalia",,454,18.26
2006,"Somalia",,473,18.54
2007,"Somalia",,469,17.95
2008,"Somalia",,503,18.77
2009,"Somalia",,499,18.14
2010,"Somalia",,507,17.91
2011,"Somalia",,519,17.81
2012,"Somalia",,553,18.35
2013,"Somalia",,564,18.14
1989,"South Africa",5188.808,461,4.10
1990,"South Africa",5068.071,435,3.78
1991,"South Africa",4914.117,474,3.99
1992,"South Africa",4709.796,546,4.43
1993,"South Africa",4668.267,729,5.70
1994,"South Africa",4715.791,913,6.88
1995,"South Africa",4757.983,879,6.37
1996,"South Africa",4853.37,612,4.27
1997,"South Africa",4866.911,927,6.22
1998,"South Africa",4777.588,989,6.39
1999,"South Africa",4775.562,1095,6.79
2000,"South Africa",4854.388,1202,7.18
2001,"South Africa",4884.465,1359,7.86
2002,"South Africa",4994.412,1391,7.92
2003,"South Africa",5076.973,1446,8.34
2004,"South Africa",5239.972,1487,8.76
2005,"South Africa",5444.1,1708,9.64
2006,"South Africa",5671.179,1891,10.35
2007,"South Africa",5893.54,1965,10.74
2008,"South Africa",5996.845,2096,11.08
2009,"South Africa",5820.682,2243,12.08
2010,"South Africa",5910.695,2326,12.70
2011,"South Africa",6010.441,2423,13.02
2012,"South Africa",6051.341,2578,13.49
2013,"South Africa",6090.295,2748,14.07
1989,"South Sudan",,500,21.24
1990,"South Sudan",,496,21.00
1991,"South Sudan",,496,20.75
1992,"South Sudan",,477,20.64
1993,"South Sudan",,491,21.42
1994,"South Sudan",,452,20.48
1995,"South Sudan",,458,20.80
1996,"South Sudan",,491,21.35
1997,"South Sudan",,506,21.57
1998,"South Sudan",,538,21.83
1999,"South Sudan",,542,20.83
2000,"South Sudan",,514,18.50
2001,"South Sudan",,505,17.74
2002,"South Sudan",,509,17.37
2003,"South Sudan",,545,17.26
2004,"South Sudan",,524,16.52
2005,"South Sudan",,605,18.26
2006,"South Sudan",,650,18.54
2007,"South Sudan",,651,17.95
2008,"South Sudan",,710,18.77
2009,"South Sudan",,709,18.14
2010,"South Sudan",,714,17.91
2011,"South Sudan",,768,17.81
2012,"South Sudan",,809,18.35
2013,"South Sudan",,823,18.14
1989,"Spain",18481.65,1438,9.11
1990,"Spain",19151.4,1446,9.14
1991,"Spain",19594.3,1379,8.64
1992,"Spain",19711.23,1239,7.72
1993,"Spain",19447.35,1077,6.63
1994,"Spain",19857.33,1029,6.25
1995,"Spain",20357.21,996,5.99
1996,"Spain",20853.44,984,5.84
1997,"Spain",21565.91,1058,6.19
1998,"Spain",22415.99,1075,6.21
1999,"Spain",23300.96,1104,6.26
2000,"Spain",24328.06,1136,6.25
2001,"Spain",24995.53,1030,5.66
2002,"Spain",25296.05,805,4.26
2003,"Spain",25634.57,722,3.67
2004,"Spain",25993.95,695,3.40
2005,"Spain",26510.06,662,3.13
2006,"Spain",27153.73,682,3.12
2007,"Spain",27660.35,572,2.55
2008,"Spain",27526.36,530,2.30
2009,"Spain",26308.57,390,1.67
2010,"Spain",26191.33,342,1.46
2011,"Spain",25937.24,335,1.42
2012,"Spain",25379,271,1.15
2013,"Spain",25150.31,232,1.00
1989,"Sri Lanka",674.9504,777,11.92
1990,"Sri Lanka",710.128,810,12.21
1991,"Sri Lanka",731.9533,835,12.40
1992,"Sri Lanka",757.1868,818,12.03
1993,"Sri Lanka",799.3412,803,11.55
1994,"Sri Lanka",832.5451,793,11.19
1995,"Sri Lanka",866.4696,774,10.89
1996,"Sri Lanka",889.5853,775,10.68
1997,"Sri Lanka",934.7399,778,10.46
1998,"Sri Lanka",967.404,819,10.18
1999,"Sri Lanka",994.6056,803,10.03
2000,"Sri Lanka",1051.743,777,9.77
2001,"Sri Lanka",1052.292,768,9.83
2002,"Sri Lanka",1086.842,634,8.09
2003,"Sri Lanka",1136.27,617,7.80
2004,"Sri Lanka",1181.988,602,7.61
2005,"Sri Lanka",1242.404,595,7.39
2006,"Sri Lanka",1323.26,623,7.25
2007,"Sri Lanka",1400.435,620,7.33
2008,"Sri Lanka",1470.699,660,7.76
2009,"Sri Lanka",1505.396,648,7.57
2010,"Sri Lanka",1610.085,646,7.59
2011,"Sri Lanka",1724.812,635,7.38
2012,"Sri Lanka",1883.003,591,7.06
2013,"Sri Lanka",2004.255,588,6.97
1989,"St. Kitts and Nevis",7312.584,1,5.69
1990,"St. Kitts and Nevis",7482.416,1,5.41
1991,"St. Kitts and Nevis",7479.597,1,5.50
1992,"St. Kitts and Nevis",7661.538,1,5.53
1993,"St. Kitts and Nevis",8078.645,1,5.47
1994,"St. Kitts and Nevis",8385.375,1,5.28
1995,"St. Kitts and Nevis",8586.524,1,5.15
1996,"St. Kitts and Nevis",9042.325,1,5.08
1997,"St. Kitts and Nevis",9545.828,1,5.10
1998,"St. Kitts and Nevis",9544.942,1,4.86
1999,"St. Kitts and Nevis",9920.056,1,4.66
2000,"St. Kitts and Nevis",10015.97,1,4.37
2001,"St. Kitts and Nevis",10362.35,1,4.31
2002,"St. Kitts and Nevis",10390.87,1,4.34
2003,"St. Kitts and Nevis",9967.805,1,4.44
2004,"St. Kitts and Nevis",10267.06,1,4.44
2005,"St. Kitts and Nevis",11053.74,1,4.35
2006,"St. Kitts and Nevis",11543.6,1,4.21
2007,"St. Kitts and Nevis",11716.52,1,4.17
2008,"St. Kitts and Nevis",12049.4,1,4.18
2009,"St. Kitts and Nevis",11238.29,1,4.24
2010,"St. Kitts and Nevis",10746.62,1,4.33
2011,"St. Kitts and Nevis",10801.08,1,4.35
2012,"St. Kitts and Nevis",10546.64,1,4.35
2013,"St. Kitts and Nevis",10867.67,1,4.34
1989,"St. Martin (French part)",,1,5.36
1990,"St. Martin (French part)",,1,5.17
1991,"St. Martin (French part)",,1,5.15
1992,"St. Martin (French part)",,1,5.13
1993,"St. Martin (French part)",,1,5.05
1994,"St. Martin (French part)",,1,4.94
1995,"St. Martin (French part)",,1,4.92
1996,"St. Martin (French part)",,1,4.81
1997,"St. Martin (French part)",,1,4.76
1998,"St. Martin (French part)",,1,4.81
1999,"St. Martin (French part)",,1,4.57
2000,"St. Martin (French part)",,1,4.44
2001,"St. Martin (French part)",,1,4.37
2002,"St. Martin (French part)",,1,4.31
2003,"St. Martin (French part)",,1,4.35
2004,"St. Martin (French part)",,1,4.27
2005,"St. Martin (French part)",,1,4.19
2006,"St. Martin (French part)",,1,4.20
2007,"St. Martin (French part)",,1,4.16
2008,"St. Martin (French part)",,1,4.07
2009,"St. Martin (French part)",,1,4.11
2010,"St. Martin (French part)",,1,4.07
2011,"St. Martin (French part)",,1,4.08
2012,"St. Martin (French part)",,1,4.03
2013,"St. Martin (French part)",,1,4.00
1989,"Sudan",477.7251,1074,19.44
1990,"Sudan",439.2779,1167,20.33
1991,"Sudan",458.6371,1260,21.32
1992,"Sudan",474.1288,1239,20.30
1993,"Sudan",480.6788,1322,21.02
1994,"Sudan",470.9371,1170,17.57
1995,"Sudan",484.695,1352,19.35
1996,"Sudan",499.0587,1639,22.57
1997,"Sudan",536.8352,1868,24.98
1998,"Sudan",545.0182,1887,24.55
1999,"Sudan",546.8861,1865,23.58
2000,"Sudan",565.7731,1709,21.02
2001,"Sudan",585.9103,1815,21.65
2002,"Sudan",606.1851,1798,20.82
2003,"Sudan",634.7368,1636,18.35
2004,"Sudan",640.8093,1477,16.08
2005,"Sudan",669.3967,1369,14.45
2006,"Sudan",716.0015,1334,13.64
2007,"Sudan",775.9868,1228,12.18
2008,"Sudan",777.0115,1220,11.73
2009,"Sudan",780.1572,1311,12.23
2010,"Sudan",785.6978,1263,11.45
2011,"Sudan",832.3145,1336,11.79
2012,"Sudan",837.2902,1555,13.35
2013,"Sudan",771.0784,1626,13.61
1989,"Suriname",3186.918,10,6.67
1990,"Suriname",3120.566,10,6.51
1991,"Suriname",3159.842,10,6.66
1992,"Suriname",3109.674,11,7.24
1993,"Suriname",2845.84,14,9.48
1994,"Suriname",2899.694,13,8.49
1995,"Suriname",2892.418,12,7.83
1996,"Suriname",2889.769,13,8.31
1997,"Suriname",3014.344,11,7.31
1998,"Suriname",3020.022,11,6.72
1999,"Suriname",2952.767,11,6.75
2000,"Suriname",2909.937,12,7.07
2001,"Suriname",2999.721,12,7.20
2002,"Suriname",3084.478,11,6.12
2003,"Suriname",3224.405,11,6.06
2004,"Suriname",3476.253,10,5.67
2005,"Suriname",3590.541,10,5.56
2006,"Suriname",3686.699,12,6.61
2007,"Suriname",3835.31,11,5.79
2008,"Suriname",3955.944,11,5.51
2009,"Suriname",4037.552,12,5.82
2010,"Suriname",4207.063,12,5.71
2011,"Suriname",4388.522,12,5.59
2012,"Suriname",4480.126,12,5.50
2013,"Suriname",4568.685,12,5.54
1989,"Swaziland",1724.564,35,14.62
1990,"Swaziland",2017.021,44,17.54
1991,"Swaziland",1995.805,34,13.15
1992,"Swaziland",2013.226,33,12.42
1993,"Swaziland",2034.799,38,13.99
1994,"Swaziland",2043.929,34,12.22
1995,"Swaziland",2099.852,38,13.29
1996,"Swaziland",2133.845,41,13.92
1997,"Swaziland",2151.423,39,12.83
1998,"Swaziland",2160.379,38,12.03
1999,"Swaziland",2182.842,40,12.37
2000,"Swaziland",2188.763,40,12.01
2001,"Swaziland",2191.35,39,11.59
2002,"Swaziland",2214.999,40,11.54
2003,"Swaziland",2252.656,39,11.25
2004,"Swaziland",2303.674,38,10.71
2005,"Swaziland",2339.3,40,11.12
2006,"Swaziland",2387.144,39,10.64
2007,"Swaziland",2434.374,39,10.22
2008,"Swaziland",2451.223,40,10.14
2009,"Swaziland",2440.111,39,9.77
2010,"Swaziland",2445.086,41,9.98
2011,"Swaziland",2390.751,40,9.50
2012,"Swaziland",2399.53,41,9.34
2013,"Swaziland",2429.778,41,9.10
1989,"Sweden",32334.52,96,2.07
1990,"Sweden",32327.81,117,2.50
1991,"Sweden",31740.25,79,1.69
1992,"Sweden",31189.04,81,1.76
1993,"Sweden",30367.89,97,2.15
1994,"Sweden",31385.36,82,1.83
1995,"Sweden",32477.54,89,1.97
1996,"Sweden",32918.07,87,1.92
1997,"Sweden",33853.46,89,1.99
1998,"Sweden",35264.8,68,1.53
1999,"Sweden",36833.63,67,1.50
2000,"Sweden",38515.91,59,1.30
2001,"Sweden",39013.2,56,1.22
2002,"Sweden",39692.78,60,1.30
2003,"Sweden",40488.81,56,1.21
2004,"Sweden",42072.34,57,1.23
2005,"Sweden",43085.42,67,1.41
2006,"Sweden",44852.32,68,1.41
2007,"Sweden",46036.86,75,1.54
2008,"Sweden",45425.16,68,1.38
2009,"Sweden",42704.66,41,0.83
2010,"Sweden",44877.98,54,1.09
2011,"Sweden",45727.1,58,1.15
2012,"Sweden",45260.11,45,0.89
2013,"Sweden",45550.59,33,0.65
1989,"Switzerland",48728.32,72,1.93
1990,"Switzerland",50002.79,71,1.87
1991,"Switzerland",48929.49,73,1.90
1992,"Switzerland",48371.83,75,1.92
1993,"Switzerland",47872.91,76,1.93
1994,"Switzerland",48095.85,75,1.91
1995,"Switzerland",48005.26,75,1.91
1996,"Switzerland",48081,75,1.91
1997,"Switzerland",49074.3,73,1.87
1998,"Switzerland",50369.54,72,1.82
1999,"Switzerland",50953.71,72,1.79
2000,"Switzerland",52667.59,69,1.73
2001,"Switzerland",53092.46,69,1.70
2002,"Switzerland",52767.91,70,1.71
2003,"Switzerland",52403.89,71,1.72
2004,"Switzerland",53524.5,70,1.69
2005,"Switzerland",54798.57,68,1.63
2006,"Switzerland",56640.95,66,1.57
2007,"Switzerland",58461.28,65,1.51
2008,"Switzerland",59037.65,66,1.49
2009,"Switzerland",57062.91,70,1.55
2010,"Switzerland",58139.72,68,1.51
2011,"Switzerland",58534.42,69,1.50
2012,"Switzerland",58558.57,70,1.50
2013,"Switzerland",59008.73,70,1.49
1989,"Syrian Arab Republic",1061.711,367,11.55
1990,"Syrian Arab Republic",1109.498,449,13.61
1991,"Syrian Arab Republic",1162.909,525,15.12
1992,"Syrian Arab Republic",1282.569,589,16.12
1993,"Syrian Arab Republic",1311.716,573,14.90
1994,"Syrian Arab Republic",1373.329,583,14.36
1995,"Syrian Arab Republic",1412.531,623,14.56
1996,"Syrian Arab Republic",1433.874,595,13.49
1997,"Syrian Arab Republic",1419.054,568,12.48
1998,"Syrian Arab Republic",1468.068,647,13.78
1999,"Syrian Arab Republic",1380.093,547,11.33
2000,"Syrian Arab Republic",1385.429,525,10.67
2001,"Syrian Arab Republic",1428.705,602,12.05
2002,"Syrian Arab Republic",1486.852,608,11.99
2003,"Syrian Arab Republic",1469.504,599,11.65
2004,"Syrian Arab Republic",1537.347,519,10.05
2005,"Syrian Arab Republic",1588.506,485,9.28
2006,"Syrian Arab Republic",1611.383,493,9.22
2007,"Syrian Arab Republic",1637.357,495,8.89
2008,"Syrian Arab Republic",1670.424,510,8.79
2009,"Syrian Arab Republic",1653.732,513,8.83
2010,"Syrian Arab Republic",1703.804,533,8.85
2011,"Syrian Arab Republic",1722.28,554,8.99
2012,"Syrian Arab Republic",1770.626,563,8.92
2013,"Syrian Arab Republic",1785.639,579,8.95
1989,"Taiwan, China",,404,3.92
1990,"Taiwan, China",,395,3.74
1991,"Taiwan, China",,393,3.75
1992,"Taiwan, China",,402,3.82
1993,"Taiwan, China",,402,3.80
1994,"Taiwan, China",,402,3.74
1995,"Taiwan, China",,396,3.67
1996,"Taiwan, China",,408,3.76
1997,"Taiwan, China",,405,3.66
1998,"Taiwan, China",,405,3.63
1999,"Taiwan, China",,367,3.28
2000,"Taiwan, China",,389,3.33
2001,"Taiwan, China",,381,3.40
2002,"Taiwan, China",,374,3.37
2003,"Taiwan, China",,372,3.33
2004,"Taiwan, China",,363,3.20
2005,"Taiwan, China",,367,3.25
2006,"Taiwan, China",,357,3.11
2007,"Taiwan, China",,342,2.95
2008,"Taiwan, China",,338,2.94
2009,"Taiwan, China",,350,3.01
2010,"Taiwan, China",,332,2.84
2011,"Taiwan, China",,323,2.78
2012,"Taiwan, China",,325,2.75
2013,"Taiwan, China",,319,2.70
1989,"Tajikistan",742.0535,277,14.31
1990,"Tajikistan",718.5375,296,14.85
1991,"Tajikistan",652.7026,337,16.62
1992,"Tajikistan",454.5541,247,11.98
1993,"Tajikistan",373.6754,219,10.46
1994,"Tajikistan",289.6571,232,10.90
1995,"Tajikistan",250.1549,381,17.68
1996,"Tajikistan",205.6059,403,18.44
1997,"Tajikistan",206.4657,366,16.53
1998,"Tajikistan",214.6693,285,12.65
1999,"Tajikistan",219.6269,290,12.64
2000,"Tajikistan",234.3382,289,12.31
2001,"Tajikistan",254.0037,284,11.76
2002,"Tajikistan",276.3921,280,11.21
2003,"Tajikistan",300.899,315,12.21
2004,"Tajikistan",325.2019,274,10.24
2005,"Tajikistan",339.7644,311,11.20
2006,"Tajikistan",355.7659,325,11.29
2007,"Tajikistan",375.0751,316,10.59
2008,"Tajikistan",395.5704,334,10.84
2009,"Tajikistan",401.1112,325,10.21
2010,"Tajikistan",417.106,349,10.61
2011,"Tajikistan",437.2224,433,12.78
2012,"Tajikistan",458.6208,436,12.52
2013,"Tajikistan",480.626,460,12.89
1989,"Tanzania, United Republic of",290.1081,3059,25.86
1990,"Tanzania, United Republic of",300.8296,2965,24.18
1991,"Tanzania, United Republic of",297.1421,3309,26.05
1992,"Tanzania, United Republic of",289.0355,3422,25.99
1993,"Tanzania, United Republic of",282.9716,3568,26.14
1994,"Tanzania, United Republic of",278.4256,3331,23.60
1995,"Tanzania, United Republic of",279.9384,3702,25.40
1996,"Tanzania, United Republic of",284.7287,3930,26.18
1997,"Tanzania, United Republic of",287.2674,3876,25.13
